Rank(P),Point,Rank(C),Cristal,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19,S20,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,S16 Od,S17 Od,S18 Od,S19 Od,S20 Od,이전 아이디,비고,여단,SRP,SRC
30,47,20,"57,500",알테리온12,티스라오,원더,16,32,128,256,128,256,32,256,256,8,256,64,256,32,256,64,256,256,256,-,11,27,69,139,76,174,17,219,149,8,213,56,206,28,,,,,256,,,카르페디엠,10,6
26,49,22,"55,500",늅늅늅늅늅,카콘시스,원더,256,256,256,32,256,128,256,128,256,128,64,32,32,256,128,16,64,256,256,-,200,227,150,30,249,116,142,121,137,95,45,17,23,256,,10,,,256,"민등, 늅늅늅늅늅",,카콘시스,1,1
29,48,22,"55,500",꼰대쿤,칼자스,원더,원더,256,256,64,256,256,128,64,128,64,16,16,64,128,256,64,256,32,256,-,-,203,220,41,155,155,85,47,88,43,16,10,41,128,,,,,256,"꼰대쿤, 틀딱쿤, 탈모쿤, 검식이의용기변, 꼰순이, 착하게살겠습니다",,형귀헬스장,1,1
18,54,22,"55,500",이궁,티스라오,원더,원더,원더,32,16,64,32,128,256,256,256,256,128,64,32,256,16,32,64,128,-,-,-,30,12,53,23,84,229,231,153,183,113,44,31,,11,,,128,"이궁, 병신계정123",,카르페디엠,5,8
30,47,22,"55,500",어스퀘이크,티스라오,256,128,128,32,128,원더,64,16,256,원더,256,128,128,256,256,128,64,16,64,64,153,78,92,26,126,-,62,15,184,-,144,107,122,161,256,,,,,64,,,여고생,10,8
38,44,26,"55,000",핏콩,티스라오,128,256,256,256,원더,원더,256,256,256,32,16,128,128,256,64,128,64,128,8,128,87,154,255,156,-,-,141,146,243,22,10,117,92,199,64,,,,,128,"쌩유, 흉ㄱ1, xㅐ앙",,여고생,13,10
42,43,27,"54,000",OOSSSS3,티스라오,실1,원더,원더,256,128,128,128,64,16,32,64,8,128,256,128,256,256,256,32,256,-,-,-,185,111,86,95,41,12,27,34,8,73,212,128,,,,,256,,,여고생,16,11
38,44,28,"53,500",북한이,카먼,원더,256,128,128,256,256,256,256,256,256,64,128,128,32,64,256,64,64,256,32,-,230,108,85,192,145,149,170,136,253,45,101,98,30,64,,,,,32,"북한, 북하니, 포켓몬트레이너, 북한이, 니홍진, fev",,랑갤럼,6,5
22,50,29,"53,000",알약콩,레이갈드,실1,256,16,16,64,32,64,원더,256,원더,256,32,256,32,64,256,128,64,256,128,-,185,10,9,33,24,44,-,232,-,198,30,170,24,64,,,,,128,"REN, Ren, 다때려부숴버린다, 정면돌파, 미드미아빠, 약알콩, 약Maker, 알약콩, SP알약콩",계정 변경 약알콩(S9),대한민국,3,2
36,46,29,"53,000",으으으으kHDX,카콘시스,골1,원더,원더,256,128,8,64,64,128,64,128,128,8,256,32,128,128,원더,64,256,-,-,-,253,70,7,38,33,127,40,97,125,5,145,29,,,,,256,"으으으으, 으으으으kHDX",,CreeD,2,2
38,44,29,"53,000",나기사 카오루,티스라오,원더,원더,256,원더,128,128,256,128,16,64,64,256,256,128,256,8,64,256,256,32,-,-,158,-,97,79,223,78,9,56,47,206,251,90,256,5,,,,32,신 이슬레이,,슬레이어즈,13,12
65,34,32,"52,500",다진파랑버섯,티스라오,256,256,128,64,256,256,128,128,256,64,32,128,256,256,256,128,256,256,256,256,132,226,66,34,180,243,93,94,179,50,28,90,196,245,256,,,,,256,"스페리올, 서밋밋님한판해요, 푸른눈의 백룡, 푸른 눈의 백룡, 전투자극제, 큐 큐 샤, 푸른눈의 백인, 푸른 눈의 백인, 리볼케인, 돈가스먹으러가자, 도스쥬그라, 도스쥬그라스, 파크데가리, 쇼우부다, 네가 넘버원이다, 난이겜을해봤어요, 마비고기, 테토남, 다진파랑버섯",,슬레이어즈,23,13
37,45,33,"52,000",어나더쿄,레이갈드,원더,64,128,256,16,128,8,64,64,골1,-,128,256,128,256,64,128,128,256,128,-,34,76,199,14,73,6,57,55,-,-,119,243,76,256,,,,,128,"어쿄, 얽효, 어나더쿄",,랑린이,4,3
65,34,33,"52,000",망치상어,발디아,256,256,256,256,256,256,64,128,128,128,256,64,256,128,32,256,256,256,256,256,172,214,237,236,133,211,63,68,98,125,155,48,212,91,17,,,,,256,,,JMT,4,3
30,47,33,"52,000",눈씨,벨제리아,실3,골3,256,128,64,128,1,64,32,64,-,원더,128,원더,128,32,128,64,32,256,-,-,140,115,49,122,1,58,17,54,-,-,124,,128,,,,,256,,,코스믹 킹덤,2,2
26,49,36,"51,000",촐라체,티스라오,256,8,256,2,64,16,원더,256,16,64,32,128,64,128,64,골3,-,-,-,-,129,6,179,2,63,10,-,249,10,48,31,66,57,82,64,,,,,,,,여고생,8,14
44,42,37,"50,500",네시사분,칼자스,원더,256,64,128,256,128,128,64,128,256,-,256,32,32,256,128,64,256,256,256,-,231,38,110,208,118,99,34,92,152,-,164,28,21,256,,,,,256,"러블리집사신랑, 러시안블루집사, 공백닉51",,세인트,2,2
22,50,37,"50,500",아멜다,이바스,-,-,-,-,실1,원더,128,64,256,64,64,256,64,8,8,128,64,128,256,16,-,-,-,-,-,-,108,54,242,51,63,165,61,7,7,,,,,16,,,에이스,1,1
30,47,37,"50,500",데차아,카먼,골3,원더,원더,원더,원더,32,256,64,256,128,32,64,256,32,128,64,128,16,256,16,-,-,-,-,-,30,168,55,185,66,30,39,135,32,128,,,,,16,,,SP알하자드,5,6
59,36,40,"50,000",사라엘,칼자스,원더,256,128,256,256,256,64,128,16,256,256,256,원더,256,64,128,128,256,64,128,-,137,79,129,148,201,59,112,16,224,221,-,-,215,64,,,,,128,,,에이스,3,3
19,53,41,"49,000",아이디팜,레이갈드,골3,골2,원더,원더,원더,128,32,128,8,32,32,256,32,4,16,16,256,-,-,-,-,-,-,-,-,108,31,71,7,29,22,158,21,3,11,,,,,,"카먼지존프란이김, 묵령, 묵령efPy9j, 아이디팜",,사신,2,4
42,43,41,"49,000",Kaga,다르시스,원더,원더,64,원더,64,128,256,256,128,32,골2,128,256,256,256,64,16,128,32,128,-,-,55,-,34,84,199,187,67,31,-,81,159,142,256,,14,,,128,,,카콘시스,1,1
30,47,41,"49,000",Ж,티스라오,64,원더,원더,원더,원더,원더,원더,256,32,128,128,256,32,256,128,128,8,64,16,32,42,-,-,-,-,-,-,221,31,68,106,205,31,240,128,,7,,,32,,젠야타,슬레이어즈,10,15
54,37,44,"48,500",형 님,티스라오,64,256,256,64,256,128,256,256,32,256,256,64,128,256,원더,원더,256,16,32,-,58,147,132,51,218,91,161,227,26,181,239,50,126,179,,,,,,,"형 님, 쭈 쭈, 옷파랑색사고싶다",,환영,19,16
22,50,45,"48,000",조민규짱,빛의후예,실2,골3,골3,원더,원더,원더,골2,원더,128,8,256,128,256,256,128,32,1,32,16,64,-,-,-,-,-,-,-,-,107,7,210,94,174,128,128,,1,,,64,,,카콘시스,1,1
61,35,45,"48,000",크림빵언니,티스라오,원더,원더,256,128,원더,원더,128,256,256,64,128,128,256,256,128,64,256,8,128,64,-,-,228,71,-,-,113,240,199,64,185,74,250,251,128,,,,,64,"헤이니언니, 크림빵언니, 엘위니누나, 카레빵언니, 크림팡",,머피소,22,17
47,41,47,"47,500",검사헤인,티스라오,원더,원더,128,128,256,256,64,64,128,128,32,64,128,128,128,128,64,128,-,-,-,-,77,99,187,135,60,39,126,117,24,44,66,73,128,,,,,,,,슬레이어즈,18,18
82,31,47,"47,500",파블류,티스라오,원더,64,256,원더,128,128,128,256,256,256,128,128,128,128,256,256,256,128,256,256,-,49,178,-,77,77,89,132,237,216,92,120,91,124,256,,,,,256,,,슬레이어즈,28,18
65,34,47,"47,500",크림빵,티스라오,골3,원더,원더,256,원더,128,128,256,256,128,256,256,256,256,2,256,64,256,256,64,-,-,-,229,-,78,96,244,228,75,213,250,148,141,2,,,,,64,,,머피소,23,18
54,37,47,"47,500",돌산남아,레이갈드,골2,원더,원더,원더,128,16,256,128,256,16,128,256,256,256,256,128,64,128,128,128,-,-,-,-,86,11,134,73,198,13,108,210,173,193,256,,,,,128,"돌산남아, 사신다람쥐, 돌산남아USGA",,사신,5,5
44,42,47,"47,500",안경애호가,티스라오,128,32,256,256,16,32,32,256,128,128,256,256,128,골3,원더,256,16,256,-,-,99,21,181,180,15,21,19,207,73,98,187,171,69,,,,16,,,,"파탈리테, 아프리카흑인탱커, 불속성효도술사, 소드마스터고길동, 보트마스터배길동, 찌찌가웅장해진다, 박살천사도구로쨩, 홀리몰리과카몰리, 심각한듀얼중독자, 함무바라마디진다, 탑골공원랑그노인, 벽만보면핥는남자, 초천재병약미소녀, 안경애호가",계정 변경 초천재병약미소녀(S16),여고생,17,18
88,30,52,"47,000",PEN1,레이갈드,256,128,256,128,64,원더,128,원더,256,256,128,256,256,256,128,32,256,256,256,256,179,88,170,126,38,-,106,-,190,232,105,187,146,149,128,,,,,256,,,로망,7,6
51,38,52,"47,000",곰탱옹,벨제리아,128,64,원더,원더,원더,16,128,원더,256,64,16,64,64,골1,128,128,256,256,256,64,107,41,-,-,-,12,78,-,134,35,14,59,58,,128,,,,,64,,,코스믹 킹덤,4,3
51,38,54,"46,500",호두는뉴비야,카콘시스,256,32,8,128,256,8,64,256,256,256,원더,원더,원더,원더,64,16,256,256,256,-,198,19,8,65,249,8,42,144,241,209,-,-,-,,64,,,,,,"빤스타임, 번스타인, 방천극v, MARU, 호두는뉴비야",계정 변경 MARU(S16),카콘시스,3,3
30,47,55,"46,000",러스펠,벨제리아,실2,골2,원더,원더,원더,원더,128,원더,256,32,64,256,16,8,16,128,32,256,128,256,-,-,-,-,-,-,126,-,200,26,50,174,15,8,9,,26,,,256,,,형귀헬스장,2,4
26,49,55,"46,000",나비탕,티스라오,-,골3,골1,원더,원더,원더,256,128,8,32,1,1,32,16,32,원더,-,-,-,-,-,-,-,-,-,-,177,75,5,23,1,1,18,14,27,,,,,,,,머피소,8,22
143,24,55,"46,000",람쥐,칼자스,원더,256,256,128,256,256,256,128,256,256,256,128,256,256,256,256,256,256,256,256,-,183,183,97,253,165,187,91,174,248,202,105,227,232,256,,,,,256,,,형귀헬스장,9,4
49,40,58,"45,500",클라우제비츠II,발디아,실2,골3,원더,256,원더,256,128,256,256,128,256,128,64,32,16,128,64,32,256,-,-,-,-,132,-,172,94,167,142,113,164,99,53,27,15,,,,,,,,세인트,3,4
54,37,59,"44,500",천언,티스라오,128,16,128,256,256,8,128,256,32,128,128,64,원더,128,256,256,-,-,-,-,116,13,128,141,250,5,100,237,32,83,100,61,-,80,256,,,,,,"천언, 랑그나라옴팡공주, 호치아범",,카르페디엠,19,23
132,25,59,"44,500",이히리기우구추,티스라오,원더,256,128,256,128,256,256,256,-,64,128,256,256,256,256,256,256,256,256,256,-,209,65,130,118,254,169,252,-,52,81,177,218,137,256,,,,,256,,,새우사망,48,23
38,44,59,"44,500",폐관수련중,티스라오,256,128,원더,골3,골2,골3,골1,실2,골3,골2,128,256,32,256,4,32,4,16,256,256,212,99,-,-,-,-,-,-,-,-,74,170,29,248,3,,3,,,256,"쾌도, 마시멜로, 마포틀딱이, 태극권, SP사쿠라, 폐관수련중",계정 변경 폐관수련중(S12),카르페디엠,13,23
102,28,62,"44,000",우앙아,노센레이어,원더,원더,128,64,256,128,256,128,256,256,256,원더,256,128,64,256,256,256,256,256,-,-,72,56,155,96,225,118,196,174,193,-,213,126,64,,,,,256,,,친구,12,5
96,29,62,"44,000",Flente,티스라오,골2,원더,원더,256,원더,256,128,128,256,256,64,128,64,256,256,64,256,128,128,256,-,-,-,168,-,202,65,120,176,196,57,109,59,194,256,,,,,256,,,여고생,31,26
77,32,62,"44,000",겨울,카먼,128,원더,원더,32,128,64,256,256,256,128,128,128,원더,256,128,128,128,256,256,-,79,-,-,23,105,38,233,222,132,110,113,97,-,195,128,,,,,,,,알하자드,11,7
112,27,62,"44,000",lazykuma,티스라오,원더,원더,원더,256,128,256,256,64,256,256,128,128,256,256,256,256,128,256,256,128,-,-,-,184,66,134,222,51,227,247,112,92,176,214,256,,,,,128,,,카르페디엠,37,26
102,28,66,"43,500",흥미진진한데,카먼,-,골3,골1,원더,256,64,128,256,128,256,64,256,64,256,256,64,256,256,256,256,-,-,-,-,179,54,128,181,84,220,62,153,44,224,256,,,,,256,"베니하루카, 흥미진진한데",,명예,15,8
47,41,66,"43,500",될놈될,노센레이어,-,-,-,-,-,골3,골2,원더,256,256,128,256,32,256,64,8,8,16,128,128,-,-,-,-,-,-,-,-,130,254,93,234,23,233,64,8,6,,,128,,,랑린이,5,6
112,27,66,"43,500",물방개모험,티스라오,64,128,원더,256,256,256,64,128,256,256,128,256,256,256,256,256,256,128,원더,골1,43,122,-,173,145,140,47,81,250,138,94,195,204,244,256,,,,,,사막,,카르페디엠,37,28
44,42,69,"42,500",트리카라,리그리아,실3,골2,원더,원더,128,원더,원더,64,4,128,32,128,8,16,64,256,256,-,원더,-,-,-,-,-,74,-,-,47,3,93,21,108,7,10,64,,,,,,,,Legend,1,1
54,37,69,"42,500",gnuyh,카먼,-,실3,골3,골1,원더,원더,128,256,128,-,256,128,8,16,32,128,256,256,64,256,-,-,-,-,-,-,125,204,85,-,232,67,6,13,26,,,,,256,,,랑돌,8,9
112,27,69,"42,500",에칼드,티스라오,원더,원더,원더,원더,256,128,256,256,64,128,64,256,128,256,256,256,128,256,256,256,-,-,-,-,231,111,147,196,46,100,46,249,75,182,256,,,,,256,에칼드,,카르페디엠,37,29
96,29,69,"42,500",포로리얌,노센레이어,-,골2,원더,원더,128,원더,128,256,64,64,64,256,256,256,128,128,256,256,128,128,-,-,-,-,65,-,119,203,37,62,61,196,172,201,128,,,,,128,,,친구,11,7
72,33,73,"42,000",라면임,카먼,골1,원더,원더,원더,256,원더,원더,32,128,128,64,256,256,64,64,256,256,128,128,64,-,-,-,-,169,-,-,24,113,112,48,155,167,42,64,,,,,64,,,랑갤럼,10,10
96,29,73,"42,000",쫑쫑vPvLgn,페르세우스,-,-,브1,골2,원더,원더,256,8,128,128,256,256,64,256,64,256,256,256,64,256,-,-,-,-,-,-,164,8,91,65,249,207,63,226,64,,,,,256,"쫑쫑, 쫑쫑vPvLgn",,Fiesta,1,1
102,28,73,"42,000",샤이닝가이,티스라오,골2,원더,원더,원더,256,원더,256,64,64,64,128,256,32,256,256,256,256,256,128,256,-,-,-,-,146,-,181,53,42,43,127,135,20,229,256,,,,,256,,,Lepic,32,30
72,33,73,"42,000",Cranky,티스라오,원더,256,256,128,64,16,32,16,256,128,256,128,원더,원더,원더,원더,원더,256,32,256,-,156,248,77,40,15,29,9,222,69,240,91,-,,,,,,,256,,,발디아,26,30
51,38,73,"42,000",해래,카먼,64,1,64,256,128,32,8,256,64,원더,골2,원더,원더,골1,원더,64,원더,골2,256,128,49,1,59,217,68,25,7,195,51,-,-,-,-,,,,,,,128,"seiko, Seiko, 빡방덱특서밋줫밥, KAZ ACE",계정 변경 카즈가오(S6),레이갈드,7,10
88,30,78,"41,500",아이페르,레이갈드,골3,원더,원더,원더,256,256,256,128,원더,256,128,32,128,128,128,256,128,128,128,256,-,-,-,-,241,208,158,108,-,142,96,27,105,97,128,,,,,256,"거북이달린다, 아이페르, 셀파한테맞고옴, 또졌어, 아이페르HjxN",,사신,7,7
61,35,78,"41,500",파이노메나,칼자스,64,32,64,128,16,256,256,256,32,256,128,32,128,256,-,-,-,-,-,-,61,27,37,122,16,153,171,161,23,228,98,18,107,140,,,,,,,,,고양이,4,5
77,32,78,"41,500",쟈스민80,발디아,골2,골3,원더,원더,원더,원더,원더,256,128,128,256,128,256,256,256,16,128,16,32,128,-,-,-,-,-,-,-,225,119,102,223,77,199,254,256,,,,,128,,,코스믹 킹덤,6,5
65,34,78,"41,500",양지니,티스라오,골3,골3,골1,원더,256,32,원더,128,256,원더,64,128,256,64,128,256,128,128,256,32,-,-,-,-,210,22,-,96,164,-,54,65,188,51,128,,,,,16,,,질풍,23,32
82,31,78,"41,500",작은슈니꾸꾸,성검,골3,골3,골1,골2,원더,원더,원더,16,256,128,64,128,128,256,128,256,256,256,64,16,-,-,-,-,-,-,-,16,245,127,58,83,71,183,128,,,,,16,"불꾸꾸, 작은슈니꾸꾸",,흑우의 빛,3,2
65,34,78,"41,500",노브커피,발디아,실3,브1,실2,골3,골2,골1,원더,256,128,256,32,256,256,256,256,64,64,32,64,16,-,-,-,-,-,-,-,192,94,164,27,150,233,204,256,,,,,16,,,고양이,4,5
82,31,84,"41,000",박점멸,티스라오,골3,골3,골3,골1,원더,원더,원더,256,256,256,256,64,4,64,256,32,256,256,128,256,-,-,-,-,-,-,-,141,162,146,160,62,3,58,256,,,,,256,,,카르페디엠,28,33
54,37,84,"41,000",흑룡마도사단,티스라오,골3,골1,원더,원더,원더,128,원더,128,128,128,128,256,128,128,원더,128,16,32,64,256,-,-,-,-,-,65,-,101,86,71,121,143,93,70,,,12,,,256,,,Epic,19,33
77,32,86,"40,500",송시온붐은왔다,티스라오,원더,64,256,8,256,64,64,256,128,128,256,256,64,128,256,원더,-,-,-,-,-,53,153,7,240,50,57,198,79,81,242,256,34,123,256,,,,,,"송기사, 2101점222, 송기사TV, 프로날빌러, 아슈람은사기캐, 요슈아는사기캐, 테센트로간봐라, 송벽이, 송냥이, 256참가자송기, 뮤기사, 송파펀, SP송레니어, 송구라, 인생망했다우앙아, 각송자, 송쉬엔, 송모시로이, 1919수호자, 송졸데, 송멜다, 송리아, 송시온붐은왔다",,창세기전,27,35
49,40,86,"40,500",월단평,리그리아,8,128,64,128,16,16,256,256,2,4,원더,-,-,-,-,-,-,-,-,-,8,126,46,103,10,14,206,238,2,4,-,-,-,,,,,,,,빛의기원,,Legend,2,2
102,28,86,"40,500",유쌩,티스라오,원더,원더,원더,원더,원더,원더,256,128,256,64,256,128,32,256,128,128,256,256,256,32,-,-,-,-,-,-,219,93,157,34,157,85,24,213,128,,,,,32,,,환유,32,35
82,31,89,"40,000",나리솔,레이갈드,골3,원더,원더,256,64,64,64,8,256,256,128,128,32,256,256,128,-,-,-,-,-,-,-,228,57,51,34,7,172,205,72,100,27,171,256,,,,,,"솔나리, 쇼메이커, 솔나리MaDZa, 나리솔",,대한민국,6,8
143,24,89,"40,000",빨간망토촤촤,카먼,원더,원더,원더,256,원더,256,원더,64,256,256,256,256,256,256,128,128,256,256,128,64,-,-,-,162,-,167,-,23,137,131,170,179,130,231,128,,,,,64,,,레이갈드,24,12
102,28,91,"39,500",Sukwind,티스라오,골3,골2,원더,원더,256,원더,256,128,원더,256,256,256,원더,128,256,256,256,2,32,256,-,-,-,-,163,-,173,116,-,178,131,246,-,86,256,,,,,256,,,머피소,32,37
72,33,92,"39,000",다크라이더쭌,노센레이어,원더,원더,256,256,원더,128,16,128,128,128,256,256,16,128,원더,원더,128,원더,64,-,-,-,232,216,-,95,13,99,118,67,244,181,13,68,,,,,,,,,,7,8
96,29,92,"39,000",스케어크로우,콜시아,브1,골3,원더,원더,원더,원더,원더,256,128,64,128,128,256,128,256,128,128,256,256,16,-,-,-,-,-,255,-,230,75,33,86,121,152,112,256,,,,,16,,,묻고성검으로가,1,1
82,31,94,"38,500",세렌디피T,칼자스,원더,256,256,원더,원더,256,128,원더,원더,원더,128,128,256,32,64,64,128,256,256,256,-,236,143,-,-,129,91,-,-,-,118,86,209,19,64,,,,,256,,,에이스,6,6
65,34,94,"38,500",우리수호천사,칼자스,-,실3,골3,골1,원더,256,256,원더,원더,원더,64,8,256,32,64,128,256,64,128,128,-,-,-,-,-,-,-,-,-,-,41,6,166,31,64,,,,,128,,,JMT,5,6
82,31,94,"38,500",TOTORU,노센레이어,원더,원더,원더,원더,원더,원더,원더,256,128,256,8,32,256,64,256,128,256,64,128,-,-,-,-,-,-,-,-,190,101,175,7,22,185,52,256,,,,,,"TOTORUec, TOTORU",,피닉스,10,9
65,34,94,"38,500",MrTrain,레겐부르그,실1,골3,골1,원더,원더,64,원더,128,128,16,128,32,256,256,8,64,128,-,-,-,-,-,-,-,-,52,-,113,110,12,126,29,231,129,8,,,,,,,,고양이,1,1
88,30,94,"38,500",에르니,티스라오,128,256,4,16,256,128,128,128,32,256,256,256,256,-,-,-,-,-,-,-,73,245,3,10,227,124,66,109,30,250,192,157,191,,,,,,,,,,여고생,30,38
61,35,99,"38,000",0080,노센레이어,골1,원더,원더,원더,원더,원더,원더,원더,256,256,256,256,128,32,256,32,32,16,256,128,-,-,-,-,-,-,-,-,248,168,231,166,111,29,256,,19,,,128,,,친구,6,10
88,30,99,"38,000",핑꾸사자,엘스리드,-,원더,64,256,256,4,128,256,256,128,256,128,128,64,256,-,-,-,-,-,-,-,35,208,198,3,103,140,155,85,139,123,125,55,256,,,,,,"토너 Got 꾸, 핑꾸사자, BKBK",,카콘시스,1,1
88,30,99,"38,000",은우지안파파,칼자스,원더,64,128,256,128,64,256,256,256,원더,원더,32,128,128,256,256,128,원더,골1,-,-,50,87,197,95,55,240,232,218,-,-,32,84,108,256,,,,,,"은우24, 은우지안파파, ShouItz",계정 변경 ShouItz,에이스,7,8
112,27,99,"38,000",해적만두,카먼,원더,128,원더,256,256,원더,256,256,64,16,원더,64,16,원더,원더,256,256,원더,256,256,-,111,-,175,137,-,245,143,34,16,-,54,9,,,,,,,256,,,패왕,16,13
72,33,103,"37,500",바람,노센레이어,원더,256,256,원더,256,원더,128,32,256,32,8,256,256,16,원더,256,-,-,-,-,-,172,141,-,195,-,90,18,197,18,6,192,222,9,,,,,,,"리아버억, 시계바람, 마요네즈시바사키, 마요네즈시바기권, 바람",,,7,11
112,27,103,"37,500",메카아라시,티스라오,원더,256,64,16,256,256,128,256,256,256,128,64,256,128,256,-,-,-,-,-,-,196,57,12,150,138,81,231,233,191,101,60,219,94,256,,,,,,"AmurO, Amuro, 안울어, Hathaway, Deidara, Jinx, 팝 팀 에픽, Heero, Seele, Inverse, 트릭컬, 산나비, 메카아라시",,카르페디엠,37,39
