Rank(P),Point,Rank(C),Cristal,S1 Od,S2 Od,S3 Od,S4 Od,S5 Od,S6 Od,S7 Od,S8 Od,S9 Od,S10 Od,S11 Od,S12 Od,S13 Od,S14 Od,S15 Od,Name,Server,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,이전아이디,비고,여단,SRP,SRC
43,29,65,"33,000",107,41,-,-,-,12,78,-,134,35,14,59,58,,128,곰탱옹,벨제리아,128,64,원더,원더,원더,16,128,원더,256,64,16,64,64,골1,128,,,코스믹 킹덤,3,3
53,27,65,"33,000",-,156,248,77,40,15,29,9,222,69,240,91,-,,,Cranky,티스라오,원더,256,256,128,64,16,32,16,256,128,256,128,-,-,-,,,,18,27
79,23,65,"33,000",-,84,206,105,132,247,110,102,77,86,177,12,103,,,sss루나,티스라오,원더,128,256,128,256,256,128,128,128,128,256,16,128,-,-,,,,30,27
79,23,65,"33,000",79,-,-,23,105,38,233,222,132,110,113,97,-,,128,겨울,카먼,128,원더,원더,32,128,64,256,256,256,128,128,128,원더,256,128,,,알하자드,12,8
106,20,65,"33,000",179,88,170,126,38,-,106,-,190,232,105,187,146,,128,PEN1,레이갈드,256,128,256,128,64,원더,128,원더,256,256,128,256,256,256,128,,,,10,7
97,21,65,"33,000",-,-,-,229,-,78,96,244,228,75,213,250,148,,64,크림빵,티스라오,골3,원더,원더,256,원더,128,128,256,256,128,256,256,256,256,2,,,머피소,33,27
37,30,72,"32,500",120,112,5,95,83,23,101,29,14,194,89,-,-,,,썸탈꺼야(발디아),발디아,128,128,8,128,128,32,128,32,16,256,-,-,-,-,-,"볼룬sZFJYU, 볼룬",계정 변경 썸탈꺼야(S9),,3,4
73,24,72,"32,500",-,-,232,216,-,95,13,99,118,67,244,181,13,68,,다크라이더쭌,노센레이어,원더,원더,256,256,원더,128,16,128,128,128,256,256,16,128,-,,,,6,6
79,23,72,"32,500",-,50,87,197,95,55,240,232,218,-,-,32,84,108,256,은우지안파파,칼자스,원더,64,128,256,128,64,256,256,256,원더,원더,32,128,128,256,"은우24, 은우지안파파",,고양이,4,5
79,23,72,"32,500",-,-,-,132,-,172,94,167,142,113,164,99,53,27,64,클라우제비츠II,발디아,실2,골3,원더,256,원더,256,128,256,256,128,256,128,64,32,16,,,인연,5,4
86,22,72,"32,500",176,115,120,88,172,187,236,145,161,5,82,80,-,,,사미나AeqaC,발디아,256,128,128,128,256,256,256,256,256,8,128,128,-,-,-,사미나,,인연,6,4
86,22,72,"32,500",-,137,79,129,148,201,59,112,16,224,221,-,-,,64,사라엘,칼자스,원더,256,128,256,256,256,64,128,16,256,256,원더,원더,256,64,,,인연,5,5
29,32,78,"32,000",-,-,17,8,22,58,8,4,139,213,-,-,-,,,에이씨에이비,리그리아,원더,원더,32,8,32,64,8,4,256,256,골3,-,-,-,-,"ACABBBCC, 에이씨에이비, 어쿄, 곱창아류",,메이저,3,3
73,24,78,"32,000",-,-,-,28,71,227,79,135,-,212,19,69,51,43,256,SP불당,성검,실2,원더,원더,32,128,256,128,256,원더,256,32,128,64,64,256,"불당, 불당동사이다, 1l1l1l1l, 유령님, SP불당","계정 변경(톡쏘는사이다), 계정 변경(불당)",고양이,3,3
86,22,78,"32,000",-,-,-,-,86,11,134,73,198,13,108,210,173,,256,돌산남아,레이갈드,골2,원더,원더,원더,128,16,256,128,256,16,128,256,256,256,256,"돌산남아, 사신다람쥐, 돌산남아USGA",,사신,7,8
132,18,78,"32,000",-,209,65,130,118,254,169,252,-,52,81,177,218,,256,이히리기우구추,티스라오,원더,256,128,256,128,256,256,256,-,64,128,256,256,256,256,,,새우사망,47,30
60,26,78,"32,000",-,-,-,-,-,52,-,113,110,12,126,29,231,,64,MrTrain,레겐부르그,실1,골3,골1,원더,원더,64,원더,128,128,16,128,32,256,256,8,,,고양이,1,1
65,25,83,"31,500",-,-,-,54,61,46,194,12,148,208,84,201,12,,,초천재병약미소녀(콜시아),콜시아,-,-,골1,64,64,64,256,16,256,256,128,256,16,-,-,"하우젤, 초천재병약미소녀",,,1,1
65,25,83,"31,500",-,-,-,-,-,30,168,55,185,66,30,39,135,32,128,데차아,카먼,골3,원더,원더,원더,원더,32,256,64,256,128,32,64,256,32,128,,,,9,10
106,20,83,"31,500",-,-,72,56,155,96,225,118,196,174,193,-,213,126,64,우앙아,노센레이어,원더,원더,128,64,256,128,256,128,256,256,256,원더,256,128,64,,,,8,7
53,27,86,"31,000",-,-,-,-,-,-,126,-,200,26,50,174,15,8,64,러스펠,벨제리아,실2,골2,원더,원더,원더,원더,128,원더,256,32,64,256,16,8,16,,,형귀헬스장,4,4
97,21,86,"31,000",-,-,-,-,236,49,74,50,83,237,206,46,183,88,128,일레인 오클레르,티스라오,-,실1,골3,원더,256,64,128,64,128,256,256,64,256,128,128,핸드크림,,Epic,33,31
97,21,88,"30,500",-,-,55,-,34,84,199,187,67,31,-,81,159,,256,Kaga,다르시스,원더,원더,64,원더,64,128,256,256,128,32,골2,128,256,256,256,,,카콘시스,1,1
145,17,88,"30,500",-,-,-,184,66,134,222,51,227,247,112,92,176,,256,lazykuma,티스라오,원더,원더,원더,256,128,256,256,64,256,256,128,128,256,256,256,,,카르페디엠,55,32
60,26,90,"30,000",227,-,111,135,149,74,2,32,99,10,-,-,-,,,트와이스사나3,티스라오,256,원더,128,256,256,128,2,32,128,16,-,-,-,-,-,,,,20,33
106,20,90,"30,000",-,-,-,240,122,236,20,121,72,145,20,-,245,,256,만취이무사,리그리아,원더,원더,원더,256,128,256,32,128,128,256,32,원더,256,256,256,,,흑우단,5,4
121,19,90,"30,000",222,-,-,76,191,181,3,136,244,124,195,252,-,,,사조영웅전,노센레이어,256,원더,원더,128,256,256,4,256,256,128,256,256,원더,256,원더,"사조영웅전, 마요네즈사조영웅",,,9,8
121,19,90,"30,000",-,-,-,-,179,54,128,181,84,220,62,153,44,,256,흥미진진한데,카먼,-,골3,골1,원더,256,64,128,256,128,256,64,256,64,256,256,베니하루카,,명예,19,11
73,24,94,"29,500",122,3,204,17,112,171,120,66,95,235,-,-,-,,,스코트랜드,티스라오,128,4,256,32,128,256,128,128,128,256,-,-,-,-,-,,,카르페디엠,27,34
132,18,94,"29,500",-,-,-,-,231,111,147,196,46,100,46,249,75,,256,에칼드,티스라오,원더,원더,원더,원더,256,128,256,256,64,128,64,256,128,256,256,,,카르페디엠,47,34
132,18,94,"29,500",-,-,-,168,-,202,65,120,176,196,57,109,59,,256,Flente,티스라오,골2,원더,원더,256,원더,256,128,128,256,256,64,128,64,256,256,,,여고생,47,34
132,18,94,"29,500",-,-,228,71,-,-,113,240,199,64,185,74,250,,128,크림빵언니,티스라오,원더,원더,256,128,원더,원더,128,256,256,64,128,128,256,256,128,"헤이니언니, 크림빵언니, 엘위니누나, 카레빵언니, 크림팡",,,47,34
37,30,98,"29,000",78,2,2,101,1,200,-,-,-,-,-,-,-,,,지금E니,카먼,128,2,2,128,1,256,-,-,-,-,-,-,-,-,-,,,,6,12
43,29,98,"29,000",14,101,1,27,167,13,70,169,-,-,-,-,-,,,마젠타로,성검,16,128,1,32,256,16,128,256,골3,골2,골3,-,-,-,-,"산공깡패, 산공도적, 운 정말좋은계정, 티아라좆망겜, 순수실력게임, 야채김밥, 산공카페, 자금부장, 인터뷰, 마젠타로",계정 변경 자금부장(S8),,2,4
48,28,98,"29,000",115,16,61,24,135,6,127,63,117,-,-,-,-,,,최후의 옷,티스라오,128,16,64,32,256,8,128,64,128,-,-,-,-,-,-,,,,16,38
106,20,98,"29,000",-,43,226,102,82,238,33,-,156,218,87,75,101,,,cala3,티스라오,원더,64,256,128,128,256,64,원더,256,256,128,128,128,-,-,,,,38,38
106,20,98,"29,000",-,-,-,-,146,-,181,53,42,43,127,135,20,,256,샤이닝가이,티스라오,골2,원더,원더,원더,256,원더,256,64,64,64,128,256,32,256,256,,,랑그리스,38,38
106,20,98,"29,000",-,-,-,119,43,-,-,205,36,77,156,189,30,,128,갈 대,벨제리아,골3,원더,원더,128,64,원더,원더,256,64,128,256,256,32,256,128,,,인연,7,5
73,24,104,"28,500",159,18,205,249,55,35,191,2,206,-,-,-,-,,,전투시작,벨제리아,256,32,256,128,64,64,256,2,256,골1,-,-,-,-,-,,,Epic,5,6
79,23,104,"28,500",-,-,-,-,-,-,125,204,85,-,232,67,6,13,64,gnuyh,카먼,-,실3,골3,골1,원더,원더,128,256,128,-,256,128,8,16,32,,,UCL,12,13
106,20,104,"28,500",-,-,-,-,-,-,164,8,91,65,249,207,63,,64,쫑쫑vPvLgn,페르세우스,-,-,브1,골2,원더,원더,256,8,128,128,256,256,64,256,64,쫑쫑,,,1,1
121,19,104,"28,500",-,-,-,-,65,-,119,203,37,62,61,196,172,,128,포로리얌,노센레이어,-,골2,원더,원더,128,원더,128,256,64,64,64,256,256,256,128,,,,9,9
60,26,108,"28,000",-,158,64,55,4,90,205,48,6,-,-,-,-,,,영웅깃가단,티스라오,원더,256,64,64,4,128,256,64,8,원더,골2,원더,골2,-,-,"바람가시계, まりあんでる","계정 변경 마리안데루(S12), 계정 변경 영웅기사단(S16)",여고생,20,41
86,22,108,"28,000",72,46,32,37,-,198,51,191,80,126,248,-,-,,,아레스,티스라오,128,64,32,64,원더,256,64,256,128,128,256,-,-,-,-,"아레스, 선과악의경계",,,31,41
86,22,108,"28,000",-,-,-,-,-,217,98,59,40,96,40,19,153,40,,wiz,레이갈드,원더,원더,원더,원더,원더,256,128,64,64,128,64,32,256,64,원더,,,미시인사이드,7,9
86,22,108,"28,000",-,111,-,175,137,-,245,143,34,16,-,54,9,,,해적만두,카먼,원더,128,원더,256,256,원더,256,256,64,16,원더,64,16,-,-,,,,14,14
97,21,108,"28,000",-,-,-,-,247,39,-,65,-,82,103,248,67,11,64,내가더잘해야한다,티스라오,-,-,골3,골1,256,64,골2,128,원더,128,128,256,128,16,64,"협이협이, 내가더잘해야한다",,카르페디엠,33,41
132,18,108,"28,000",206,79,107,176,127,109,-,-,49,-,-,186,182,,128,빈센조,티스라오,256,128,128,256,128,128,원더,원더,64,원더,원더,256,256,256,128,"카피s, 식물유저, 박춘식이, 헬스왕춘식이, 카피S, 고려거란전쟁, 빈센조",계졍 변경 빈센조(S14),카르페디엠,47,41
86,22,114,"27,500",-,206,52,204,245,2,67,233,29,227,-,-,-,,,수현아,노센레이어,원더,256,64,256,256,2,128,256,32,256,원더,-,-,-,-,"실리비, 펜타스톰X, MUMU",,,7,10
97,21,114,"27,500",252,32,83,250,25,34,-,107,167,173,104,-,-,,,햅탱,티스라오,256,32,128,256,32,64,원더,128,256,256,128,-,-,-,-,"시, 세OI버, 햅탱",,,33,45
106,20,114,"27,500",-,-,-,-,-,103,-,248,188,108,26,20,22,,256,엔트,티스라오,골1,원더,원더,원더,원더,128,원더,256,256,128,32,32,32,256,256,,,,38,45
106,20,114,"27,500",42,-,-,-,-,-,-,221,31,68,106,205,31,,128,Ж,티스라오,64,원더,원더,원더,원더,원더,원더,256,32,128,128,256,32,256,128,,젠야타,슬레이어즈,38,45
106,20,114,"27,500",-,-,-,-,-,-,49,180,54,118,37,232,40,125,128,근본좌,어둠의전설,-,실3,실3,골3,골1,원더,64,256,64,128,64,256,64,128,128,,,카콘시스,1,1
106,20,114,"27,500",-,-,-,-,169,-,-,24,113,112,48,155,167,42,64,라면임,카먼,골1,원더,원더,원더,256,원더,원더,32,128,128,64,256,256,64,64,,,랑갤럼,17,15
132,18,114,"27,500",-,-,-,-,241,208,158,108,-,142,96,27,105,97,128,아이페르,레이갈드,골3,원더,원더,원더,256,256,256,128,원더,256,128,32,128,128,128,"거북이달린다, 아이페르, 셀파한테맞고옴, 또졌어, 아이페르HjxN",,사신,11,10
106,20,121,"27,000",140,12,41,73,88,157,-,-,140,49,-,-,175,,,CLEAR,티스라오,256,16,64,128,128,256,원더,원더,256,64,원더,-,256,256,원더,구조체,,슬레이어즈,38,48
121,19,121,"27,000",-,-,-,-,-,-,112,256,152,19,56,41,72,114,256,브라운아이드소울,칼자스,-,-,골3,골1,원더,원더,128,256,256,32,64,64,128,128,256,,,,6,7
154,16,121,"27,000",-,-,-,-,-,130,123,95,141,154,197,64,187,107,128,마이클꼴레,레이갈드,골1,원더,원더,원더,원더,256,128,128,256,256,256,64,256,128,128,,,사신,12,11
195,13,121,"27,000",-,-,-,-,229,241,72,247,145,255,228,219,134,100,256,영뽀,노센레이어,골3,원더,원더,원더,256,256,128,256,256,256,256,256,256,128,256,"코리안로드, 빠팅, 룡그릿사, 마요네즈빠팅홧팅, 마요네즈양배추, 안드리오, 안드리올, 영뽀",,피닉스,16,11
